Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD8677,Ahmedabad,PQR College,3rd,Data Science,LinkedIn
LD8678,Delhi,DEF Academy,2nd,Data Science,College Collaboration
LD8679,Ahmedabad,ABC Institute,2nd,Data Science,Mass-Mailing
LD8680,Delhi,ABC Institute,1st,Robotics,Instagram
LD8681,Pune,ABC Institute,4th,Data Science,Instagram
LD8682,Pune,ABC Institute,2nd,Data Science,College Collaboration
LD8683,Surat,PQR College,1st,Electric Vehicle,Mass-Mailing
LD8684,Pune,PQR College,3rd,Electric Vehicle,Whatsapp
LD8685,Ahmedabad,XYZ University,2nd,Data Science,LinkedIn
LD8686,Delhi,PQR College,1st,Data Science,Instagram
LD8687,Surat,PQR College,2nd,Data Science,LinkedIn
LD8688,Ahmedabad,ABC Institute,4th,Robotics,College Collaboration
LD8689,Surat,DEF Academy,3rd,Robotics,Google Form
LD8690,Pune,XYZ University,2nd,Data Science,Whatsapp
LD8691,Surat,PQR College,2nd,Electric Vehicle,Instagram
LD8692,Ahmedabad,ABC Institute,2nd,Electric Vehicle,College Collaboration
LD8693,Ahmedabad,XYZ University,3rd,Electric Vehicle,Mass-Mailing
LD8694,Pune,PQR College,4th,Robotics,Whatsapp
LD8695,Surat,PQR College,2nd,Electric Vehicle,Instagram
LD8696,Delhi,XYZ University,3rd,Data Science,Instagram
LD8697,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Google Form
LD8698,Delhi,XYZ University,3rd,Data Science,Mass-Mailing
LD8699,Surat,DEF Academy,2nd,Robotics,Instagram
LD8700,Surat,ABC Institute,3rd,Electric Vehicle,Whatsapp
LD8701,Pune,XYZ University,4th,AI,Whatsapp
LD8702,Surat,DEF Academy,4th,Robotics,Google Form
LD8703,Surat,PQR College,4th,Robotics,LinkedIn
LD8704,Ahmedabad,PQR College,2nd,Robotics,LinkedIn
LD8705,Ahmedabad,XYZ University,4th,Electric Vehicle,Mass-Mailing
LD8706,Ahmedabad,ABC Institute,2nd,AI,Whatsapp
LD8707,Surat,XYZ University,3rd,Robotics,LinkedIn
LD8708,Surat,ABC Institute,1st,Electric Vehicle,Instagram
LD8709,Surat,DEF Academy,4th,Robotics,Google Form
LD8710,Ahmedabad,XYZ University,3rd,Electric Vehicle,LinkedIn
LD8711,Delhi,XYZ University,1st,Data Science,Mass-Mailing
LD8712,Ahmedabad,ABC Institute,2nd,Robotics,LinkedIn
LD8713,Delhi,XYZ University,1st,Electric Vehicle,Google Form
LD8714,Delhi,ABC Institute,2nd,Electric Vehicle,Whatsapp
LD8715,Mumbai,PQR College,2nd,AI,Mass-Mailing
LD8716,Delhi,ABC Institute,2nd,Data Science,Mass-Mailing
LD8717,Surat,PQR College,3rd,AI,Whatsapp
LD8718,Pune,ABC Institute,4th,Robotics,Google Form
LD8719,Pune,DEF Academy,3rd,Data Science,Whatsapp
LD8720,Delhi,PQR College,2nd,AI,Instagram
LD8721,Ahmedabad,XYZ University,3rd,Electric Vehicle,Whatsapp
LD8722,Mumbai,ABC Institute,2nd,Data Science,LinkedIn
LD8723,Surat,DEF Academy,3rd,AI,Google Form
LD8724,Delhi,PQR College,1st,Robotics,Whatsapp
LD8725,Surat,ABC Institute,3rd,AI,College Collaboration
LD8726,Pune,ABC Institute,4th,AI,Instagram
LD8727,Pune,ABC Institute,4th,Electric Vehicle,LinkedIn
LD8728,Pune,XYZ University,1st,Data Science,Instagram
LD8729,Surat,DEF Academy,4th,Electric Vehicle,Whatsapp
LD8730,Surat,ABC Institute,4th,Electric Vehicle,College Collaboration
LD8731,Mumbai,DEF Academy,1st,AI,Google Form
LD8732,Surat,DEF Academy,1st,Electric Vehicle,Mass-Mailing
LD8733,Surat,PQR College,2nd,Electric Vehicle,Mass-Mailing
LD8734,Delhi,DEF Academy,3rd,Electric Vehicle,LinkedIn
LD8735,Ahmedabad,XYZ University,3rd,Electric Vehicle,Google Form
LD8736,Surat,DEF Academy,2nd,Data Science,Google Form
LD8737,Ahmedabad,XYZ University,1st,Electric Vehicle,Instagram
LD8738,Surat,ABC Institute,4th,Robotics,Mass-Mailing
LD8739,Mumbai,PQR College,2nd,Data Science,Mass-Mailing
LD8740,Ahmedabad,XYZ University,3rd,Electric Vehicle,Mass-Mailing
LD8741,Mumbai,PQR College,1st,Electric Vehicle,Whatsapp
LD8742,Ahmedabad,DEF Academy,3rd,Electric Vehicle,College Collaboration
LD8743,Surat,XYZ University,1st,AI,College Collaboration
LD8744,Pune,DEF Academy,2nd,AI,Whatsapp
LD8745,Ahmedabad,DEF Academy,2nd,Data Science,College Collaboration
LD8746,Surat,XYZ University,2nd,Robotics,Google Form
LD8747,Delhi,DEF Academy,1st,Robotics,Mass-Mailing
LD8748,Ahmedabad,ABC Institute,1st,AI,Google Form
LD8749,Mumbai,DEF Academy,2nd,AI,College Collaboration
LD8750,Surat,PQR College,3rd,Robotics,Google Form
LD8751,Ahmedabad,PQR College,3rd,Data Science,Whatsapp
LD8752,Ahmedabad,DEF Academy,1st,Electric Vehicle,College Collaboration
LD8753,Pune,DEF Academy,3rd,Electric Vehicle,Google Form
LD8754,Ahmedabad,DEF Academy,2nd,Robotics,Whatsapp
LD8755,Delhi,DEF Academy,4th,Data Science,LinkedIn
LD8756,Pune,PQR College,1st,Electric Vehicle,Google Form
LD8757,Mumbai,XYZ University,2nd,Robotics,LinkedIn
LD8758,Ahmedabad,PQR College,3rd,Data Science,Mass-Mailing
LD8759,Mumbai,PQR College,3rd,AI,LinkedIn
LD8760,Pune,DEF Academy,4th,AI,Google Form
LD8761,Mumbai,XYZ University,4th,Electric Vehicle,Google Form
LD8762,Ahmedabad,PQR College,2nd,AI,Instagram
LD8763,Surat,DEF Academy,3rd,Electric Vehicle,College Collaboration
LD8764,Ahmedabad,PQR College,2nd,Robotics,Mass-Mailing
LD8765,Delhi,XYZ University,4th,Data Science,Whatsapp
LD8766,Mumbai,PQR College,1st,AI,Google Form
LD8767,Surat,PQR College,2nd,Electric Vehicle,College Collaboration
LD8768,Mumbai,ABC Institute,1st,Data Science,College Collaboration
LD8769,Ahmedabad,PQR College,3rd,AI,Whatsapp
LD8770,Delhi,XYZ University,3rd,Electric Vehicle,Mass-Mailing
LD8771,Pune,XYZ University,1st,Electric Vehicle,LinkedIn
LD8772,Surat,DEF Academy,4th,Electric Vehicle,College Collaboration
LD8773,Delhi,PQR College,1st,Robotics,Google Form
LD8774,Mumbai,PQR College,3rd,Robotics,LinkedIn
LD8775,Surat,DEF Academy,2nd,Data Science,Instagram
LD8776,Pune,XYZ University,3rd,Robotics,Mass-Mailing
LD8777,Ahmedabad,DEF Academy,2nd,AI,Google Form
LD8778,Surat,XYZ University,2nd,Data Science,Whatsapp
LD8779,Mumbai,DEF Academy,3rd,Data Science,LinkedIn
LD8780,Delhi,DEF Academy,3rd,Electric Vehicle,College Collaboration
LD8781,Delhi,XYZ University,3rd,AI,College Collaboration
LD8782,Pune,XYZ University,1st,Electric Vehicle,Whatsapp
LD8783,Delhi,ABC Institute,3rd,Robotics,Mass-Mailing
LD8784,Mumbai,XYZ University,1st,Robotics,Whatsapp
LD8785,Delhi,DEF Academy,3rd,Electric Vehicle,Whatsapp
LD8786,Pune,ABC Institute,1st,Robotics,Mass-Mailing
LD8787,Ahmedabad,ABC Institute,2nd,AI,Mass-Mailing
LD8788,Surat,DEF Academy,1st,Robotics,Instagram
LD8789,Delhi,ABC Institute,4th,Robotics,Google Form
LD8790,Delhi,PQR College,2nd,Data Science,Mass-Mailing
LD8791,Delhi,DEF Academy,2nd,Data Science,Mass-Mailing
LD8792,Ahmedabad,ABC Institute,3rd,Electric Vehicle,College Collaboration
LD8793,Ahmedabad,XYZ University,1st,Data Science,LinkedIn
LD8794,Delhi,XYZ University,2nd,Robotics,Instagram
LD8795,Surat,XYZ University,4th,Electric Vehicle,Instagram
LD8796,Delhi,DEF Academy,3rd,Data Science,College Collaboration
LD8797,Surat,ABC Institute,2nd,AI,Mass-Mailing
LD8798,Pune,DEF Academy,2nd,AI,LinkedIn
LD8799,Surat,ABC Institute,3rd,Robotics,College Collaboration
LD8800,Delhi,DEF Academy,3rd,Data Science,Mass-Mailing
LD8801,Surat,ABC Institute,1st,Data Science,Google Form
LD8802,Surat,DEF Academy,3rd,AI,Instagram
LD8803,Surat,XYZ University,2nd,Robotics,Whatsapp
LD8804,Mumbai,ABC Institute,4th,Robotics,Instagram
LD8805,Pune,XYZ University,1st,Data Science,Mass-Mailing
LD8806,Pune,PQR College,1st,Data Science,Mass-Mailing
LD8807,Mumbai,DEF Academy,1st,Data Science,Google Form
LD8808,Surat,ABC Institute,4th,AI,Whatsapp
LD8809,Pune,ABC Institute,1st,Data Science,LinkedIn
LD8810,Surat,XYZ University,2nd,Robotics,Mass-Mailing
LD8811,Surat,DEF Academy,1st,Data Science,LinkedIn
LD8812,Ahmedabad,XYZ University,2nd,Electric Vehicle,Mass-Mailing
LD8813,Pune,ABC Institute,2nd,Data Science,LinkedIn
LD8814,Pune,XYZ University,1st,Data Science,College Collaboration
LD8815,Mumbai,PQR College,4th,Data Science,Mass-Mailing
LD8816,Surat,XYZ University,2nd,AI,Google Form
LD8817,Pune,DEF Academy,3rd,AI,Mass-Mailing
LD8818,Surat,PQR College,1st,Robotics,Google Form
LD8819,Delhi,ABC Institute,1st,AI,College Collaboration
LD8820,Delhi,XYZ University,1st,AI,Google Form
LD8821,Mumbai,ABC Institute,4th,Robotics,Google Form
LD8822,Mumbai,XYZ University,2nd,Electric Vehicle,Google Form
LD8823,Surat,XYZ University,1st,Data Science,College Collaboration
LD8824,Delhi,DEF Academy,1st,Electric Vehicle,College Collaboration
LD8825,Delhi,DEF Academy,2nd,Robotics,Mass-Mailing
LD8826,Delhi,XYZ University,2nd,AI,Instagram
LD8827,Mumbai,DEF Academy,2nd,AI,Instagram
LD8828,Mumbai,PQR College,4th,AI,College Collaboration
LD8829,Delhi,DEF Academy,2nd,Data Science,College Collaboration
LD8830,Ahmedabad,ABC Institute,2nd,Data Science,College Collaboration
LD8831,Delhi,PQR College,4th,Electric Vehicle,College Collaboration
LD8832,Surat,DEF Academy,4th,Data Science,College Collaboration
LD8833,Mumbai,XYZ University,3rd,Robotics,LinkedIn
LD8834,Pune,XYZ University,4th,Robotics,College Collaboration
LD8835,Surat,ABC Institute,2nd,AI,Google Form
LD8836,Ahmedabad,DEF Academy,2nd,AI,Mass-Mailing
LD8837,Delhi,DEF Academy,2nd,Data Science,Google Form
LD8838,Surat,DEF Academy,4th,Robotics,College Collaboration
LD8839,Delhi,PQR College,2nd,Data Science,Mass-Mailing
LD8840,Surat,DEF Academy,3rd,Electric Vehicle,Google Form
LD8841,Delhi,ABC Institute,4th,AI,College Collaboration
LD8842,Surat,PQR College,3rd,AI,LinkedIn
LD8843,Pune,ABC Institute,1st,AI,Google Form
LD8844,Surat,DEF Academy,4th,Robotics,Whatsapp
LD8845,Mumbai,PQR College,2nd,Robotics,College Collaboration
LD8846,Mumbai,DEF Academy,3rd,Electric Vehicle,Instagram
LD8847,Pune,ABC Institute,4th,Robotics,College Collaboration
LD8848,Delhi,PQR College,4th,Robotics,Google Form
LD8849,Mumbai,XYZ University,2nd,Data Science,Whatsapp
LD8850,Ahmedabad,ABC Institute,4th,Electric Vehicle,Instagram
LD8851,Mumbai,XYZ University,4th,Robotics,Google Form
LD8852,Pune,DEF Academy,3rd,Robotics,Google Form
LD8853,Mumbai,ABC Institute,4th,Electric Vehicle,LinkedIn
LD8854,Ahmedabad,PQR College,1st,Data Science,LinkedIn
LD8855,Mumbai,PQR College,3rd,AI,Mass-Mailing
LD8856,Ahmedabad,XYZ University,2nd,AI,Whatsapp
LD8857,Mumbai,PQR College,4th,Data Science,Google Form
LD8858,Pune,PQR College,1st,Electric Vehicle,College Collaboration
LD8859,Ahmedabad,DEF Academy,4th,Electric Vehicle,Instagram
LD8860,Pune,PQR College,2nd,AI,Mass-Mailing
LD8861,Mumbai,ABC Institute,3rd,Robotics,College Collaboration
LD8862,Mumbai,XYZ University,4th,Data Science,Google Form
LD8863,Delhi,ABC Institute,4th,Robotics,College Collaboration
LD8864,Surat,DEF Academy,1st,AI,Google Form
LD8865,Ahmedabad,PQR College,4th,Robotics,LinkedIn
LD8866,Pune,DEF Academy,2nd,AI,Google Form
LD8867,Mumbai,DEF Academy,4th,Robotics,Instagram
LD8868,Mumbai,DEF Academy,4th,Data Science,Instagram
LD8869,Pune,XYZ University,1st,Electric Vehicle,Google Form
LD8870,Mumbai,ABC Institute,3rd,AI,LinkedIn
LD8871,Surat,XYZ University,4th,Electric Vehicle,Mass-Mailing
LD8872,Ahmedabad,PQR College,2nd,AI,Whatsapp
LD8873,Pune,ABC Institute,1st,AI,Instagram
LD8874,Pune,DEF Academy,1st,Electric Vehicle,College Collaboration
LD8875,Pune,ABC Institute,3rd,Robotics,LinkedIn
LD8876,Mumbai,DEF Academy,3rd,Robotics,Instagram
LD8877,Delhi,ABC Institute,4th,Data Science,LinkedIn
LD8878,Pune,XYZ University,2nd,Data Science,Whatsapp
LD8879,Surat,ABC Institute,3rd,Data Science,LinkedIn
LD8880,Surat,PQR College,3rd,Data Science,Whatsapp
LD8881,Surat,ABC Institute,1st,AI,LinkedIn
LD8882,Surat,PQR College,2nd,Data Science,Google Form
LD8883,Mumbai,PQR College,2nd,Robotics,Mass-Mailing
LD8884,Surat,ABC Institute,4th,Robotics,Instagram
LD8885,Delhi,PQR College,1st,Electric Vehicle,Whatsapp
LD8886,Mumbai,PQR College,3rd,Electric Vehicle,LinkedIn
LD8887,Ahmedabad,PQR College,2nd,Robotics,Instagram
LD8888,Mumbai,DEF Academy,2nd,AI,Google Form
LD8889,Mumbai,ABC Institute,2nd,Robotics,College Collaboration
LD8890,Delhi,ABC Institute,4th,Robotics,Instagram
LD8891,Delhi,ABC Institute,4th,AI,LinkedIn
LD8892,Mumbai,ABC Institute,3rd,Electric Vehicle,LinkedIn
LD8893,Ahmedabad,PQR College,2nd,Robotics,Google Form
LD8894,Surat,XYZ University,2nd,AI,LinkedIn
LD8895,Mumbai,ABC Institute,1st,Electric Vehicle,Google Form
LD8896,Ahmedabad,PQR College,3rd,AI,College Collaboration
LD8897,Ahmedabad,DEF Academy,3rd,Data Science,Instagram
LD8898,Pune,PQR College,1st,AI,Mass-Mailing
LD8899,Ahmedabad,PQR College,2nd,Electric Vehicle,Google Form
LD8900,Mumbai,ABC Institute,1st,Data Science,College Collaboration
LD8901,Delhi,DEF Academy,3rd,Data Science,Google Form
LD8902,Ahmedabad,ABC Institute,3rd,Electric Vehicle,LinkedIn
LD8903,Pune,PQR College,3rd,Electric Vehicle,College Collaboration
LD8904,Delhi,DEF Academy,4th,Robotics,Google Form
LD8905,Surat,DEF Academy,2nd,AI,LinkedIn
LD8906,Ahmedabad,ABC Institute,1st,AI,Mass-Mailing
LD8907,Surat,XYZ University,1st,Electric Vehicle,Google Form
LD8908,Delhi,DEF Academy,4th,Electric Vehicle,Google Form
LD8909,Surat,DEF Academy,3rd,AI,Instagram
LD8910,Pune,PQR College,1st,AI,Instagram
LD8911,Surat,XYZ University,4th,Electric Vehicle,Mass-Mailing
LD8912,Delhi,PQR College,3rd,Electric Vehicle,LinkedIn
LD8913,Delhi,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD8914,Ahmedabad,DEF Academy,2nd,Data Science,LinkedIn
LD8915,Surat,XYZ University,1st,AI,LinkedIn
LD8916,Mumbai,PQR College,2nd,AI,College Collaboration
LD8917,Mumbai,XYZ University,3rd,Electric Vehicle,LinkedIn
LD8918,Surat,DEF Academy,3rd,Robotics,Google Form
LD8919,Mumbai,ABC Institute,2nd,Robotics,College Collaboration
LD8920,Surat,XYZ University,1st,Data Science,Mass-Mailing
LD8921,Mumbai,ABC Institute,2nd,Electric Vehicle,Whatsapp
LD8922,Surat,XYZ University,2nd,Electric Vehicle,LinkedIn
LD8923,Pune,PQR College,4th,AI,Whatsapp
LD8924,Delhi,PQR College,1st,Robotics,Instagram
LD8925,Mumbai,XYZ University,2nd,AI,LinkedIn
LD8926,Surat,DEF Academy,1st,AI,Mass-Mailing
LD8927,Pune,PQR College,3rd,Electric Vehicle,Instagram
LD8928,Delhi,PQR College,4th,AI,Google Form
LD8929,Delhi,ABC Institute,3rd,Electric Vehicle,Mass-Mailing
LD8930,Surat,PQR College,4th,Robotics,Mass-Mailing
LD8931,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Instagram
LD8932,Delhi,DEF Academy,1st,Robotics,Mass-Mailing
LD8933,Surat,ABC Institute,2nd,Robotics,Instagram
LD8934,Delhi,ABC Institute,3rd,AI,Mass-Mailing
LD8935,Ahmedabad,ABC Institute,2nd,AI,College Collaboration
LD8936,Pune,PQR College,3rd,AI,LinkedIn
LD8937,Pune,XYZ University,1st,Robotics,LinkedIn
LD8938,Surat,XYZ University,4th,Electric Vehicle,Instagram
LD8939,Delhi,ABC Institute,4th,Data Science,College Collaboration
LD8940,Surat,PQR College,2nd,Electric Vehicle,College Collaboration
LD8941,Ahmedabad,ABC Institute,2nd,Electric Vehicle,Google Form
LD8942,Surat,ABC Institute,4th,Data Science,Whatsapp
LD8943,Ahmedabad,DEF Academy,1st,Robotics,Instagram
LD8944,Ahmedabad,ABC Institute,3rd,AI,Google Form
LD8945,Mumbai,XYZ University,1st,Electric Vehicle,College Collaboration
LD8946,Mumbai,PQR College,2nd,Data Science,College Collaboration
LD8947,Delhi,ABC Institute,1st,Robotics,Google Form
LD8948,Ahmedabad,PQR College,1st,AI,Instagram
LD8949,Mumbai,XYZ University,3rd,AI,Instagram
LD8950,Surat,XYZ University,2nd,Data Science,College Collaboration
LD8951,Pune,XYZ University,1st,Electric Vehicle,LinkedIn
LD8952,Pune,ABC Institute,3rd,Robotics,Instagram
LD8953,Surat,DEF Academy,2nd,AI,Whatsapp
LD8954,Delhi,ABC Institute,1st,Robotics,Mass-Mailing
LD8955,Pune,XYZ University,1st,Electric Vehicle,Google Form
LD8956,Mumbai,XYZ University,1st,Robotics,Whatsapp
LD8957,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Google Form
LD8958,Ahmedabad,XYZ University,1st,Data Science,Whatsapp
LD8959,Surat,PQR College,2nd,Electric Vehicle,LinkedIn
LD8960,Surat,DEF Academy,4th,AI,LinkedIn
LD8961,Surat,PQR College,1st,Electric Vehicle,Instagram
LD8962,Mumbai,DEF Academy,4th,Robotics,Whatsapp
LD8963,Ahmedabad,ABC Institute,3rd,Robotics,Instagram
LD8964,Ahmedabad,ABC Institute,4th,Robotics,Whatsapp
LD8965,Delhi,PQR College,4th,Robotics,Mass-Mailing
LD8966,Mumbai,DEF Academy,3rd,Data Science,Whatsapp
LD8967,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Google Form
LD8968,Surat,ABC Institute,1st,Data Science,Mass-Mailing
LD8969,Mumbai,DEF Academy,4th,Electric Vehicle,Instagram
LD8970,Ahmedabad,DEF Academy,3rd,Robotics,Whatsapp
LD8971,Mumbai,DEF Academy,1st,Data Science,Whatsapp
LD8972,Mumbai,XYZ University,4th,Electric Vehicle,Whatsapp
LD8973,Surat,ABC Institute,2nd,Data Science,LinkedIn
LD8974,Ahmedabad,XYZ University,4th,Data Science,Whatsapp
LD8975,Surat,ABC Institute,3rd,AI,LinkedIn
LD8976,Delhi,PQR College,2nd,Data Science,Mass-Mailing
LD8977,Ahmedabad,DEF Academy,2nd,Data Science,Google Form
LD8978,Delhi,PQR College,2nd,Data Science,Google Form
LD8979,Ahmedabad,DEF Academy,3rd,Robotics,Whatsapp
LD8980,Surat,XYZ University,2nd,Data Science,LinkedIn
LD8981,Mumbai,DEF Academy,3rd,Electric Vehicle,Google Form
LD8982,Mumbai,ABC Institute,2nd,Data Science,Google Form
LD8983,Surat,DEF Academy,2nd,Data Science,Whatsapp
LD8984,Ahmedabad,PQR College,2nd,Data Science,Mass-Mailing
LD8985,Ahmedabad,PQR College,4th,Data Science,Mass-Mailing
LD8986,Surat,XYZ University,4th,Data Science,College Collaboration
LD8987,Mumbai,DEF Academy,1st,Electric Vehicle,College Collaboration
LD8988,Surat,ABC Institute,4th,Robotics,Google Form
LD8989,Pune,XYZ University,2nd,AI,Whatsapp
LD8990,Pune,ABC Institute,3rd,AI,Whatsapp
LD8991,Pune,ABC Institute,1st,Robotics,Mass-Mailing
LD8992,Mumbai,DEF Academy,2nd,Robotics,LinkedIn
LD8993,Surat,DEF Academy,1st,Data Science,Google Form
LD8994,Ahmedabad,XYZ University,4th,Data Science,College Collaboration
LD8995,Surat,PQR College,3rd,Data Science,Mass-Mailing
LD8996,Pune,ABC Institute,3rd,Robotics,Whatsapp
LD8997,Ahmedabad,ABC Institute,4th,Data Science,Google Form
LD8998,Delhi,PQR College,3rd,Data Science,Mass-Mailing
LD8999,Mumbai,PQR College,1st,AI,LinkedIn
LD9000,Pune,DEF Academy,3rd,Electric Vehicle,LinkedIn
LD9001,Ahmedabad,ABC Institute,1st,Electric Vehicle,Google Form
LD9002,Surat,XYZ University,4th,Electric Vehicle,Mass-Mailing
LD9003,Pune,ABC Institute,4th,AI,Mass-Mailing
LD9004,Delhi,ABC Institute,3rd,AI,Whatsapp
LD9005,Surat,PQR College,4th,Electric Vehicle,Google Form
LD9006,Ahmedabad,DEF Academy,2nd,Electric Vehicle,Google Form
LD9007,Pune,DEF Academy,3rd,AI,Whatsapp
LD9008,Ahmedabad,DEF Academy,4th,AI,LinkedIn
LD9009,Surat,ABC Institute,3rd,Data Science,Instagram
LD9010,Ahmedabad,ABC Institute,2nd,Robotics,Google Form
LD9011,Pune,DEF Academy,2nd,AI,Instagram
LD9012,Pune,DEF Academy,4th,Electric Vehicle,Google Form
LD9013,Ahmedabad,PQR College,1st,Data Science,Mass-Mailing
LD9014,Ahmedabad,PQR College,4th,Electric Vehicle,College Collaboration
LD9015,Surat,XYZ University,3rd,Data Science,LinkedIn
LD9016,Surat,XYZ University,1st,Robotics,Google Form
LD9017,Mumbai,ABC Institute,3rd,Robotics,LinkedIn
LD9018,Delhi,XYZ University,1st,AI,Whatsapp
LD9019,Delhi,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD9020,Delhi,PQR College,3rd,AI,Instagram
LD9021,Ahmedabad,ABC Institute,2nd,AI,Whatsapp
LD9022,Delhi,DEF Academy,1st,Robotics,Mass-Mailing
LD9023,Surat,XYZ University,3rd,Robotics,Google Form
LD9024,Mumbai,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD9025,Delhi,XYZ University,4th,Robotics,Google Form
LD9026,Delhi,ABC Institute,3rd,Data Science,College Collaboration
LD9027,Surat,PQR College,3rd,Robotics,Google Form
LD9028,Mumbai,ABC Institute,1st,Electric Vehicle,LinkedIn
LD9029,Pune,XYZ University,2nd,Data Science,Google Form
LD9030,Mumbai,XYZ University,1st,Robotics,LinkedIn
LD9031,Pune,DEF Academy,4th,Data Science,Whatsapp
LD9032,Ahmedabad,XYZ University,3rd,Data Science,Instagram
LD9033,Mumbai,XYZ University,1st,Robotics,Instagram
LD9034,Surat,PQR College,1st,AI,Google Form
LD9035,Surat,PQR College,2nd,Data Science,LinkedIn
LD9036,Mumbai,DEF Academy,4th,AI,Google Form
LD9037,Ahmedabad,XYZ University,2nd,Electric Vehicle,College Collaboration
LD9038,Mumbai,ABC Institute,1st,AI,Mass-Mailing
LD9039,Surat,DEF Academy,3rd,Electric Vehicle,Google Form
LD9040,Ahmedabad,PQR College,2nd,Data Science,Google Form
LD9041,Mumbai,PQR College,1st,Robotics,LinkedIn
LD9042,Ahmedabad,ABC Institute,3rd,Electric Vehicle,Google Form
LD9043,Ahmedabad,PQR College,1st,Electric Vehicle,Mass-Mailing
LD9044,Ahmedabad,XYZ University,2nd,Data Science,Google Form
LD9045,Delhi,PQR College,4th,AI,College Collaboration
LD9046,Delhi,PQR College,3rd,Robotics,Instagram
LD9047,Surat,XYZ University,4th,AI,Whatsapp
LD9048,Surat,ABC Institute,4th,Robotics,Whatsapp
LD9049,Surat,PQR College,4th,Electric Vehicle,College Collaboration
LD9050,Delhi,XYZ University,1st,AI,Whatsapp
LD9051,Pune,ABC Institute,1st,Robotics,Whatsapp
LD9052,Ahmedabad,XYZ University,1st,Electric Vehicle,LinkedIn
LD9053,Delhi,PQR College,2nd,Robotics,Mass-Mailing
LD9054,Ahmedabad,DEF Academy,4th,AI,Whatsapp
LD9055,Pune,ABC Institute,3rd,AI,Instagram
LD9056,Pune,PQR College,3rd,Electric Vehicle,College Collaboration
LD9057,Mumbai,DEF Academy,4th,AI,Google Form
LD9058,Ahmedabad,XYZ University,2nd,Robotics,LinkedIn
LD9059,Surat,DEF Academy,4th,Data Science,College Collaboration
LD9060,Mumbai,XYZ University,2nd,Robotics,Google Form
LD9061,Delhi,PQR College,3rd,Robotics,Mass-Mailing
LD9062,Delhi,XYZ University,3rd,Electric Vehicle,College Collaboration
LD9063,Pune,ABC Institute,1st,Data Science,Instagram
LD9064,Pune,DEF Academy,1st,Data Science,College Collaboration
LD9065,Delhi,XYZ University,3rd,Data Science,Google Form
LD9066,Surat,XYZ University,3rd,Data Science,College Collaboration
LD9067,Ahmedabad,DEF Academy,3rd,Electric Vehicle,Google Form
LD9068,Mumbai,ABC Institute,4th,Electric Vehicle,College Collaboration
LD9069,Delhi,ABC Institute,3rd,AI,Instagram
LD9070,Delhi,ABC Institute,3rd,AI,Google Form
LD9071,Surat,ABC Institute,1st,Data Science,College Collaboration
LD9072,Ahmedabad,ABC Institute,2nd,Data Science,LinkedIn
LD9073,Surat,XYZ University,2nd,Data Science,Google Form
LD9074,Mumbai,ABC Institute,3rd,Robotics,Google Form
LD9075,Surat,ABC Institute,1st,AI,Whatsapp
LD9076,Ahmedabad,ABC Institute,4th,Electric Vehicle,College Collaboration
LD9077,Mumbai,PQR College,1st,AI,Instagram
LD9078,Mumbai,PQR College,3rd,AI,Whatsapp
LD9079,Mumbai,ABC Institute,3rd,Electric Vehicle,Whatsapp
LD9080,Pune,PQR College,1st,Electric Vehicle,College Collaboration
LD9081,Surat,ABC Institute,4th,Electric Vehicle,Instagram
LD9082,Mumbai,DEF Academy,2nd,AI,Google Form
LD9083,Surat,XYZ University,4th,Robotics,College Collaboration
LD9084,Surat,XYZ University,4th,Robotics,Google Form
LD9085,Mumbai,ABC Institute,1st,Electric Vehicle,Google Form
LD9086,Pune,PQR College,3rd,Data Science,LinkedIn
LD9087,Pune,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD9088,Surat,ABC Institute,4th,AI,LinkedIn
LD9089,Delhi,PQR College,2nd,AI,Instagram
LD9090,Surat,DEF Academy,3rd,Electric Vehicle,Instagram
LD9091,Pune,DEF Academy,4th,Electric Vehicle,Google Form
LD9092,Mumbai,PQR College,1st,Robotics,Google Form
LD9093,Mumbai,DEF Academy,1st,Data Science,Instagram
LD9094,Mumbai,ABC Institute,1st,Data Science,Google Form
LD9095,Delhi,DEF Academy,1st,Robotics,Mass-Mailing
LD9096,Ahmedabad,PQR College,4th,Data Science,Instagram
LD9097,Surat,DEF Academy,2nd,Robotics,Instagram
LD9098,Mumbai,DEF Academy,1st,AI,Mass-Mailing
LD9099,Surat,XYZ University,2nd,Robotics,Whatsapp
LD9100,Delhi,ABC Institute,3rd,AI,Mass-Mailing
LD9101,Mumbai,DEF Academy,2nd,Data Science,Google Form
LD9102,Pune,PQR College,1st,AI,College Collaboration
LD9103,Pune,ABC Institute,3rd,Electric Vehicle,Mass-Mailing
LD9104,Surat,ABC Institute,2nd,Data Science,Instagram
LD9105,Delhi,DEF Academy,3rd,Robotics,Instagram
LD9106,Delhi,DEF Academy,3rd,Data Science,Whatsapp
LD9107,Ahmedabad,ABC Institute,1st,Data Science,LinkedIn
